블록,건수,평당가_중앙값,평당가_평균,평당가_최저,평당가_최고,전용면적_중앙값,최근거래
테크노밸리,226,2406,2657,839,6346,56.7,2026-07
삼성전자화성,31,1681,1801,537,5446,44.5,2026-07
지원시설(동탄역),22,1396,2350,1041,10757,34.8,2026-06
지원시설(ASML),21,2604,2491,1359,3469,30.5,2026-08
섹션오피스,15,1477,1467,1094,1777,25.7,2026-07
도시첨단산업단지,10,1535,1598,1325,1831,111.9,2026-01
기흥구청,8,1636,1531,78,4070,8.7,2026-03
기흥세무서,5,1427,1436,1252,1675,47.5,2026-08
보라동 행정복지센터,4,5245,5232,4564,5873,48.7,2025-07
강남대역,4,480,493,387,625,9.1,2026-06
상갈맛깔촌,1,775,775,775,775,10.2,2025-10
어정역,1,1704,1704,1704,1704,54.3,2026-01
구갈동행정복지센터,1,598,598,598,598,77.4,2026-01
서천지구,1,2968,2968,2968,2968,20.1,2026-06
