단지명,유형,블록,건수,평당가_중앙값,평당가_평균,평당가_최저,평당가_최고,전용면적_중앙값,최근거래
디에트르 퍼스트지,지산,테크노밸리,155,2406,3038,2406,6346,65.9,2025-04
유림노르웨이숲,아파트,테크노밸리,24,1329,1274,839,1653,42.0,2026-04
동탄레이크원,아파트,지원시설(ASML),15,2500,2412,1359,2868,30.5,2026-08
여울동 984,미분류,,14,4722,4496,2765,5648,35.2,2025-08
영천동 853-1,미분류,,13,2641,2091,888,2700,46.6,2026-04
반송동 93-3,미분류,,12,896,1080,616,2353,93.2,2026-06
삼정그린코아더시티,오피스텔,지원시설(동탄역),11,1396,1360,1211,1423,23.6,2026-06
영천동 823-6,미분류,,11,2418,2198,1228,3485,36.1,2026-06
석우동IT단지,연구시설,삼성전자화성,10,1737,2464,1661,5446,47.8,2025-11
청계동 536,미분류,,9,1462,2058,663,6535,35.2,2026-08
능동 1052-3,미분류,,9,324,285,66,419,19.4,2026-05
장지동 510,미분류,,9,1206,1206,1206,1206,306.1,2026-01
산척동 727-1,미분류,,8,2483,2751,2479,4632,57.1,2026-05
영천동 837,미분류,,7,1450,2314,938,4602,42.9,2026-01
동탄역멀티플라이어,오피스텔,테크노밸리,7,1505,1647,1461,2087,30.3,2026-07
반송동 94,미분류,,7,1528,1691,1199,2399,21.7,2026-07
반송동 88-9,미분류,,6,723,916,408,1626,111.8,2025-02
송동 725-1,미분류,,6,6835,6681,2585,10311,33.6,2026-03
능동 1152-5,미분류,,6,645,889,557,2041,156.2,2026-05
여울동 968-2,미분류,,6,1819,1831,1242,2334,142.9,2025-12
오피스타워,오피스,삼성전자화성,5,945,998,682,1277,31.5,2026-07
반송동 106-2,미분류,,5,835,829,807,841,79.2,2025-04
반송동 107-1,미분류,,5,1007,1951,565,6311,93.6,2026-01
영천동 652-4,미분류,,5,873,873,873,873,42.3,2025-06
동탄역상가,오피스,지원시설(동탄역),5,1146,1164,1041,1406,93.0,2025-10
청계동 535-4,미분류,,5,1183,1175,1134,1187,81.6,2025-08
산척동 728-5,미분류,,4,1480,1431,1121,1643,71.3,2026-01
반송동 86-1,미분류,,4,910,2995,831,9329,61.6,2025-09
SH TIME SQUARE 1,지산,테크노밸리,4,1708,2643,1695,5460,38.2,2026-01
반송동 90-8,미분류,,4,2790,2775,2476,3042,55.0,2025-02
익현오피스텔,오피스텔,삼성전자화성,4,800,1100,787,2012,24.8,2025-12
목동 496-2,미분류,,4,1716,2376,1377,4694,58.8,2026-01
반송동 87-4,미분류,,4,512,996,458,2504,104.6,2026-08
반송동 88-11,미분류,,4,513,1559,483,4726,141.4,2025-05
여울동 973,미분류,,4,1684,2459,1405,5061,39.3,2026-03
여울동 1020,미분류,,4,1755,2008,1369,3151,48.4,2026-07
반송동 107-8,미분류,,4,1022,1044,973,1158,95.2,2026-04
송동 725-4,미분류,,4,3821,4572,2220,8424,51.7,2026-04
영천동 832-2,미분류,,4,2361,2087,676,2948,70.8,2026-08
반송동 90-1,미분류,,4,3809,3981,3808,4498,38.4,2026-07
영천동 658-6,미분류,,4,1194,1193,1183,1201,99.1,2026-06
능동 1066-1,미분류,,3,1844,1832,1796,1855,35.0,2025-04
반송동 104-3,미분류,,3,6289,4408,647,6289,31.5,2025-07
여울동 976-7,미분류,,3,10757,8391,3658,10757,35.4,2025-08
산척동 728-1,미분류,,3,2493,2356,2072,2504,184.9,2025-01
반송동 88-13,미분류,,3,7114,5319,719,8125,37.4,2026-05
디앤씨빌딩,오피스,삼성전자화성,3,798,1990,712,4461,90.5,2026-07
여울동 1089,미분류,,3,6932,6288,1880,10052,41.1,2026-05
에이티오앤빌딩,오피스,삼성전자화성,3,558,555,537,570,15.4,2026-01
청계동 534-1,미분류,,3,1826,2028,604,3653,90.5,2026-07
반송동 87-3,미분류,,3,2754,2263,1198,2838,36.0,2026-04
능동 1152-3,미분류,,3,1720,1465,795,1881,30.8,2025-09
반송동 86-4,미분류,,3,1600,1967,727,3575,61.4,2025-07
반송동 107-2,미분류,,3,2069,2432,2017,3211,50.8,2026-02
동탄푸로지오시티웍스,오피스,지원시설(ASML),3,3068,3195,3049,3469,29.1,2026-04
산척동 745,미분류,,3,1227,1319,1104,1625,26.9,2026-04
영천동 678-7,미분류,,3,1421,2477,1421,4589,36.0,2026-04
목동 487-1,미분류,,3,1474,1499,1474,1549,48.5,2026-03
반송동 219-3,미분류,,3,5510,5791,5290,6572,42.0,2026-03
청계동 520,미분류,,3,4132,4975,3142,7652,34.4,2026-07
동탄디웨이브,오피스,지원시설(ASML),3,2267,2181,1672,2604,29.7,2026-06
산척동 728-2,미분류,,3,1448,1500,1418,1634,58.3,2026-01
반송동 91-7,미분류,,3,782,782,782,782,136.8,2026-02
반송동 88-8,미분류,,3,1195,1199,1189,1212,551.7,2026-03
청계동 512,미분류,,2,7820,7820,4986,10654,26.6,2025-12
장지동 971-1,미분류,,2,8088,8088,4167,12010,60.3,2026-02
능동 1065-3,미분류,,2,2211,2211,2159,2263,80.4,2025-02
중동 2**,미분류,,2,2289,2289,1219,3359,515.1,2026-07
영천동 873-2,미분류,,2,7555,7555,7270,7840,48.8,2025-02
청계동 535-6,미분류,,2,1433,1433,1430,1436,114.7,2025-02
금곡동 5**,미분류,,2,3441,3441,1704,5178,494.7,2025-09
반송동 93-8,미분류,,2,786,786,578,995,114.5,2025-05
청계동 564,미분류,,2,1416,1416,398,2435,68.5,2025-09
반송동 61-10,미분류,,2,437,437,404,470,106.4,2025-03
반송동 88-12,미분류,,2,662,662,650,674,102.1,2025-03
능동 1114-2,미분류,,2,762,762,673,851,115.5,2025-04
반송동 103-2,미분류,,2,881,882,857,906,100.3,2025-08
여울동 972,미분류,,2,3055,3056,2485,3626,31.9,2026-01
장지동 8**,미분류,,2,1320,1320,602,2039,199.9,2025-06
반송동 218-2,미분류,,2,5211,5211,5211,5211,50.8,2025-06
목동 488-2,미분류,,2,1806,1806,1652,1960,59.4,2026-04
동탄더퍼스트2차,지산,테크노밸리,2,2099,2100,2046,2153,50.5,2025-06
여울동 971,미분류,,2,1824,1824,1307,2341,47.8,2025-09
송동 694,미분류,,2,5258,5258,4197,6319,51.2,2025-07
현대 실리콘앨리 동탄,지산,테크노밸리,2,2038,2038,1688,2388,32.7,2026-07
금곡동 1**,미분류,,2,1348,1348,1197,1499,659.1,2025-09
반송동 91-6,미분류,,2,498,498,484,513,116.1,2025-06
반송동 40,미분류,,2,834,834,826,842,64.0,2025-07
목동 496-5,미분류,,2,5994,5994,5915,6073,38.5,2025-07
영천동 678-3,미분류,,2,1356,1356,1351,1361,118.6,2025-07
청계동 531-2,미분류,,2,1221,1221,1190,1252,79.2,2025-08
산척동 728-3,미분류,,2,4296,4296,1366,7227,66.1,2026-02
금곡동 3**,미분류,,2,1634,1634,1634,1634,169.9,2025-10
영천동 675-1,미분류,,2,982,982,976,988,107.1,2025-08
영천동 875-2,미분류,,2,3838,3838,3114,4563,89.3,2026-04
여울동 969-5,미분류,,2,4096,4096,1245,6948,128.8,2026-04
반송동 88-6,미분류,,2,1273,1273,1273,1273,437.6,2025-09
영천동 873-1,미분류,,2,530,530,297,763,39.0,2026-02
산척동 728-4,미분류,,2,5088,5088,2044,8133,68.8,2026-05
여울동 969-6,미분류,,2,891,891,879,903,104.8,2025-09
능동 1109,미분류,,2,1173,1174,1025,1322,100.0,2026-06
반송동 107-7,미분류,,2,1000,1000,751,1250,106.7,2026-05
반송동 107-3,미분류,,2,2917,2917,2594,3240,37.2,2025-12
청계동 535-3,미분류,,2,2233,2233,1969,2497,83.4,2026-04
반송동 215,미분류,,2,1161,1161,1159,1163,45.6,2026-01
여울동 969-4,미분류,,2,1481,1481,1219,1743,73.0,2026-02
여울동 974-1,미분류,,2,1927,1928,1918,1937,25.4,2026-04
반송동 159,미분류,,2,1974,1974,1960,1988,29.5,2026-04
반송동 7*,미분류,,2,1726,1726,1671,1782,803.1,2026-07
장지동 912-9,미분류,,2,3279,3280,3061,3498,37.8,2026-05
반송동 86-2,미분류,,1,656,656,656,656,70.6,2025-01
반송동 90-6,미분류,,1,610,610,610,610,21.7,2025-01
블리스인 오피스텔,오피스텔,삼성전자화성,1,2175,2175,2175,2175,19.3,2025-01
반송동 217-6,미분류,,1,2988,2988,2988,2988,54.2,2025-01
여울동 1019,미분류,,1,8995,8995,8995,8995,8.4,2025-01
여울동 1023,미분류,,1,3738,3738,3738,3738,28.3,2025-02
동탄앨리원,오피스,지원시설(동탄역),1,1890,1890,1890,1890,26.2,2025-02
반송동 1**,미분류,,1,166,166,166,166,59.7,2025-02
능동 1***,미분류,,1,2596,2596,2596,2596,356.6,2025-03
청계동 516,미분류,,1,3005,3005,3005,3005,35.2,2025-03
반송동 91-2,미분류,,1,569,569,569,569,133.7,2025-03
반송동 106-5,미분류,,1,695,695,695,695,109.4,2025-03
청계동 558,미분류,,1,3061,3061,3061,3061,32.4,2025-03
반송동 91-1,미분류,,1,763,763,763,763,68.5,2025-03
여울동 1040-1,미분류,,1,691,691,691,691,40.6,2025-03
능동 1081,미분류,,1,1721,1721,1721,1721,31.5,2025-04
청계동 535-5,미분류,,1,1780,1780,1780,1780,78.0,2025-04
영천동 851,미분류,,1,4935,4935,4935,4935,39.5,2025-04
장지동 913,미분류,,1,917,917,917,917,425.5,2025-05
목동 487-9,미분류,,1,7564,7564,7564,7564,59.0,2025-05
반송동 80,미분류,,1,6428,6428,6428,6428,36.0,2025-05
능동 1114-3,미분류,,1,805,805,805,805,80.0,2025-05
송동 723-1,미분류,,1,3427,3427,3427,3427,53.0,2025-05
청계동 535-2,미분류,,1,1760,1760,1760,1760,165.3,2025-05
반송동 224,미분류,,1,1745,1745,1745,1745,54.0,2025-05
능동 1113-3,미분류,,1,613,613,613,613,118.6,2025-06
반송동 134,미분류,,1,7090,7090,7090,7090,24.5,2025-06
장지동 7**,미분류,,1,1333,1333,1333,1333,198.4,2025-06
산척동 717-1,미분류,,1,1716,1716,1716,1716,144.5,2025-06
능동 1132,미분류,,1,2074,2074,2074,2074,47.2,2025-06
능동 1065-1,미분류,,1,1581,1581,1581,1581,49.1,2025-06
석우동 41-1,미분류,,1,2965,2965,2965,2965,91.4,2025-06
방교동 779-5,미분류,,1,866,866,866,866,95.4,2025-07
영천동 678-1,미분류,,1,985,985,985,985,134.2,2025-07
여울동 1040-4,미분류,,1,1467,1467,1467,1467,146.5,2025-07
반송동 135,미분류,,1,3987,3987,3987,3987,13.7,2025-07
영천동 678-6,미분류,,1,1071,1071,1071,1071,95.7,2025-07
영천동 846-2,미분류,,1,5063,5063,5063,5063,58.8,2025-08
산척동 744,미분류,,1,1478,1478,1478,1478,35.1,2025-08
송동 726-1,미분류,,1,9370,9370,9370,9370,35.3,2025-08
장지동 977,미분류,,1,1119,1119,1119,1119,32.5,2025-08
반송동 91-9,미분류,,1,5952,5952,5952,5952,28.1,2025-09
영천동 788,미분류,,1,2052,2052,2052,2052,37.0,2025-09
반송동 106-1,미분류,,1,1272,1272,1272,1272,100.0,2025-09
반송동 217-1,미분류,,1,1162,1162,1162,1162,109.5,2025-09
영천동 679-4,미분류,,1,1306,1306,1306,1306,480.8,2025-09
영천동 681-4,미분류,,1,1120,1120,1120,1120,175.6,2025-09
능동 1151,미분류,,1,1199,1199,1199,1199,32.2,2025-10
신동 *,미분류,,1,1218,1218,1218,1218,39.5,2025-10
목동 491,미분류,,1,2988,2988,2988,2988,35.4,2025-10
여울동 988,미분류,,1,1337,1337,1337,1337,37.0,2025-10
반송동 106-7,미분류,,1,1022,1022,1022,1022,45.3,2025-10
반송동 42-3,미분류,,1,1005,1005,1005,1005,67.1,2025-11
장지동 1011,미분류,,1,1669,1669,1669,1669,42.9,2025-11
청계동 535-1,미분류,,1,7119,7119,7119,7119,53.4,2025-11
청계동 534-2,미분류,,1,2830,2830,2830,2830,31.5,2025-11
영천동 658-1,미분류,,1,1065,1065,1065,1065,81.3,2025-12
산척동 728-6,미분류,,1,1682,1682,1682,1682,59.9,2025-12
반송동 212,미분류,,1,1720,1720,1720,1720,27.7,2025-12
청계동 535-7,미분류,,1,1865,1865,1865,1865,66.1,2026-01
산척동 723,미분류,,1,1302,1302,1302,1302,121.9,2026-01
영천동 678-5,미분류,,1,2583,2583,2583,2583,38.4,2026-01
반송동 221-2,미분류,,1,6534,6534,6534,6534,37.4,2026-02
여울동 981-1,미분류,,1,5733,5733,5733,5733,29.8,2026-02
반송동 90-9,미분류,,1,700,700,700,700,236.2,2026-03
반송동 93-6,미분류,,1,1064,1064,1064,1064,81.1,2026-03
반송동 220-5,미분류,,1,1205,1205,1205,1205,114.7,2026-03
석우동 53,미분류,,1,2520,2520,2520,2520,32.8,2026-04
장지동 969,미분류,,1,2479,2479,2479,2479,39.9,2026-04
동탄케이밸리,지산,테크노밸리,1,1005,1005,1005,1005,26.6,2026-04
영천동 720,미분류,,1,2529,2529,2529,2529,65.4,2026-04
금곡동 4**,미분류,,1,519,519,519,519,396.0,2026-04
산척동 699,미분류,,1,3258,3258,3258,3258,45.1,2026-04
장지동 964,미분류,,1,2916,2916,2916,2916,39.7,2026-05
여울동 1091,미분류,,1,1833,1833,1833,1833,31.6,2026-05
반송동 88-3,미분류,,1,1308,1308,1308,1308,128.9,2026-05
반송동 90-3,미분류,,1,1859,1859,1859,1859,26.7,2026-05
메타플러스,오피스,삼성전자화성,1,882,882,882,882,15.0,2026-05
장지동 971-6,미분류,,1,2274,2274,2274,2274,75.6,2026-05
목동 487-5,미분류,,1,1546,1546,1546,1546,49.2,2026-06
신동 874,미분류,,1,1346,1346,1346,1346,81.0,2026-06
산척동 718,미분류,,1,5308,5308,5308,5308,32.8,2026-06
장지동 971-3,미분류,,1,2254,2254,2254,2254,102.0,2026-06
반송동 93-2,미분류,,1,812,812,812,812,130.3,2026-07
청계동 531-4,미분류,,1,1985,1985,1985,1985,43.3,2026-07
영천동 681-1,미분류,,1,1858,1858,1858,1858,110.3,2026-07
영천동 848-1,미분류,,1,3810,3810,3810,3810,60.7,2026-07
목동 485,미분류,,1,2293,2293,2293,2293,43.7,2026-07
능동 9**,미분류,,1,2474,2474,2474,2474,86.9,2026-07
영천동 675-6,미분류,,1,566,566,566,566,46.7,2026-08
