유형,건수,평당가_중앙값,평당가_평균,평당가_최저,평당가_최고,전용면적_중앙값,최근거래
근린상가,585,1387,2073,48,12010,64.4,2026-08
지산,205,2406,2802,888,6346,61.3,2026-07
판매시설,98,1316,2077,81,8995,41.4,2026-08
교육연구,60,982,1041,433,2063,102.6,2026-08
오피스,54,1471,2030,537,10757,29.7,2026-08
숙박,40,1413,1362,234,2771,22.1,2026-07
아파트,39,1420,1712,839,2868,42.0,2026-08
기타,30,900,1038,95,3758,297.7,2026-07
오피스텔,23,1396,1438,787,2175,30.3,2026-07
상가,19,1563,2012,78,5873,9.1,2026-06
연구시설,10,1737,2464,1661,5446,47.8,2025-11
업무(미확인),3,1259,1244,940,1532,70.9,2026-01
