schSn,회수,차수,회의명,회의일,현안,적중어,링크,수집일
7714,제254회,제2차,본회의,2026-09-08,트램,"트램, 동탄, 유찰",https://council.hscity.go.kr/cnts/mnt/mntsViewer.php?schSn=7714,2026-09-15
7715,제254회,제1차,인사청문특별위원회,2026-09-08,,,https://council.hscity.go.kr/cnts/mnt/mntsViewer.php?schSn=7715,2026-09-15
7726,제254회,제3차,경제환경위원회,2026-09-07,,유찰,https://council.hscity.go.kr/cnts/mnt/mntsViewer.php?schSn=7726,2026-09-15
7728,제254회,제3차,보건복지위원회,2026-09-07,,동탄,https://council.hscity.go.kr/cnts/mnt/mntsViewer.php?schSn=7728,2026-09-15
7731,제254회,제3차,문화체육위원회,2026-09-04,,"동탄, 지방채",https://council.hscity.go.kr/cnts/mnt/mntsViewer.php?schSn=7731,2026-09-15
7724,제254회,제2차,보건복지위원회,2026-09-04,,"동탄, 지방채",https://council.hscity.go.kr/cnts/mnt/mntsViewer.php?schSn=7724,2026-09-15
7713,제254회,제2차,기획행정위원회,2026-09-03,,동탄,https://council.hscity.go.kr/cnts/mnt/mntsViewer.php?schSn=7713,2026-09-15
7718,제254회,제2차,경제환경위원회,2026-09-03,트램,"트램, 동탄, 산업단지",https://council.hscity.go.kr/cnts/mnt/mntsViewer.php?schSn=7718,2026-09-15
7723,제254회,제2차,문화체육위원회,2026-09-03,,"동탄, 지방채",https://council.hscity.go.kr/cnts/mnt/mntsViewer.php?schSn=7723,2026-09-15
7717,제254회,제2차,도시건설위원회,2026-09-03,트램,"트램, 도시철도, 동탄, 유찰, 지방채",https://council.hscity.go.kr/cnts/mnt/mntsViewer.php?schSn=7717,2026-09-15
7722,제254회,제1차,기획행정위원회,2026-09-02,,동탄,https://council.hscity.go.kr/cnts/mnt/mntsViewer.php?schSn=7722,2026-09-15
7712,제254회,제1차,경제환경위원회,2026-09-02,,동탄,https://council.hscity.go.kr/cnts/mnt/mntsViewer.php?schSn=7712,2026-09-15
7716,제254회,제1차,문화체육위원회,2026-09-02,,"동탄, 유찰",https://council.hscity.go.kr/cnts/mnt/mntsViewer.php?schSn=7716,2026-09-15
7711,제254회,제1차,도시건설위원회,2026-09-02,트램,"트램, 산업단지",https://council.hscity.go.kr/cnts/mnt/mntsViewer.php?schSn=7711,2026-09-15
7725,제254회,제1차,보건복지위원회,2026-09-02,,동탄,https://council.hscity.go.kr/cnts/mnt/mntsViewer.php?schSn=7725,2026-09-15
