게시판,부서,고시번호,제목,공고일자,게재기간,동탄관련,현안,글감,링크,수집일
고시,투자유치과,화성시 고시 제2026-755호,화성 동방 일반산업단지계획(변경) 승인 고시,2026-09-09,,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149769,2026-09-09
고시,도로과,화성시 고시 제2026-756호,도시관리계획(시설도로) 결정(경미한변경) 및 실시계획(변경) 고시 알림[양감 사창초 교차로 개선공사],2026-09-09,,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149777,2026-09-09
고시,도로과,화성시 고시 제2026-757호,고시 사도개설(변경)허가 고시문(우정읍 이화리 662-1번지 일원),2026-09-09,2026-09-09 ~ 2026-09-23,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149783,2026-09-09
일반공고,도시계획상임기획단,화성시 공고 제2026-3027호,2026년 제2회 화성시 공공디자인 공모전 개최 안내,2026-09-09,2026-09-09 ~ 2026-10-16,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149573,2026-09-09
일반공고,도시정책과,화성시 공고 제2026-3081호,"시계획시설(도로,주차장,완충녹지,유수지) 실시계획인가(변경)에 관한 주민열람・공고 [궁평관광지 조성사업]",2026-09-09,2026-09-09 ~ 2026-09-23,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149772,2026-09-09
일반공고,철도전략과,화성시 공고 제2026-3067호,"수용재결신청서 열람공고(인천발 KTX 직결사업, 3차)",2026-09-08,2026-09-08 ~ 2026-09-23,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149683,2026-09-09
일반공고,도시건축과,화성시 효행구 공고 제2026-425호,도로지정공고[정남면 괘랑리 908-3번지],2026-09-08,2026-09-08 ~ 2026-09-22,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149696,2026-09-08
일반공고,도시건축과,화성시 효행구 공고 제2026-426호,효행구 개발제한구역내 불법행위 시정명령 촉구 통보,2026-09-08,2026-09-08 ~ 2026-09-22,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149700,2026-09-08
일반공고,도시건축과,화성시 효행구 공고 제2026-427호,효행구 개발제한구역 내 불법행위 시정명령 처분의 사전통지,2026-09-08,2026-09-08 ~ 2026-09-22,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149705,2026-09-08
고시,도로과,화성시 고시 제2026-754호,봉담도시계획도로 중로1-5호선 도시관리계획(시설:도로)결정 및 실시계획 고시,2026-09-08,2026-09-09 ~ 2026-09-23,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149751,2026-09-09
고시,해양수산과,화성시 고시 제2026-759호,공유수면 점용・사용 실시계획 변경 승인 고시(당진 LNG 건설사업),2026-09-08,2026-09-09 ~ 2026-09-23,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149785,2026-09-09
고시,공원조성과,화성시 고시 제2026-760호,도시계획시설사업(공원) 실시계획인가(변경) 고시 안내-병점근린공원,2026-09-08,2026-09-08 ~ 2026-12-31,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149789,2026-09-09
일반공고,도로과,화성시 공고 제2026-3058호,도로구역결정(변경) 및 사업인정에 관한 주민 등의 의견청취 공고[시도16호선(舊53호선) 도로확포장공사],2026-09-07,2026-09-07 ~ 2026-09-21,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149658,2026-09-07
일반공고,건설과,화성시 공고 제2026-3069호,보상계획 통지문(국지도 82호선 갈천-가수 도로건설공사),2026-09-07,2026-09-07 ~ 2026-09-21,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149695,2026-09-07
고시,토지정보과,화성시 고시 제2026-753호,도로명주소 개별고시,2026-09-07,2026-09-08 ~ 2026-12-31,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149709,2026-09-09
고시,투자유치과,화성시 고시 제2026-745호,화성 동방 일반산업단지 관리기본계획 승인 고시,2026-09-04,2026-09-08 ~ 2026-12-31,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149620,2026-09-09
고시,토지정보과,화성시 고시 제2026-749호,도로구간 변경고시,2026-09-04,,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149659,2026-09-08
일반공고,건설과,화성시 공고 제2026-3041호,전문건설업 등록 공고[주식회사 리봄조경],2026-09-04,2026-09-04 ~ 2029-09-03,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149618,2026-09-07
일반공고,건설과,화성시 공고 제2026-3061호,전문건설업 등록말소 취소 공고,2026-09-04,2026-09-04 ~ 2031-09-03,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149673,2026-09-07
일반공고,건설과,화성시 공고 제2026-3064호,전문건설업 등록말소 공고_형제가스,2026-09-04,2026-09-04 ~ 2031-09-03,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149678,2026-09-07
일반공고,도로과,화성시 공고 제2026-3057호,수용재결 신청에 따른 열람공고(왕림~분천간 도로확포장공사),2026-09-04,2026-09-04 ~ 2026-09-19,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149656,2026-09-07
일반공고,도시건축과,화성시 만세구 공고 제2026-901호,도로지정변경공고(향남읍 수직리 248-14번지 외 4필지),2026-09-04,,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149668,2026-09-07
일반공고,도시정책과,화성시 공고 제2026-3055호,수용재결 신청서 열람・공고[천천지구 도시계획시설(매송중로2-8호선 외 4개소) 개설공사],2026-09-04,2026-09-04 ~ 2026-09-18,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149653,2026-09-07
일반공고,도시정책과,화성시 공고 제2026-3056호,수용재결 신청서 열람・공고[천천지구 도시계획시설(제1호어린이공원) 조성공사],2026-09-04,2026-09-04 ~ 2026-09-18,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149654,2026-09-07
고시,도로과,화성시 고시 제2026-739호,문구동(남양)지구 도시관리계획(시설:도로) 결정(경미한 변경) 및 실시계획 고시,2026-09-03,,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149516,2026-09-08
고시,도시정책과,화성시 고시 제2026-747호,"도시관리계획[시설:장사시설] 결정(경미한 변경) 및 실시계획(경미한 변경) 작성, 지형도면 고시[화성 도시계획시설(장사시설)(함백산 추모공원 건립사업)]",2026-09-03,,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149628,2026-09-08
고시,주택정책과,화성시 고시 제2026-748호,주택건설사업계획 변경(2차) 승인 고시 [하길지구 A-1블록],2026-09-03,,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149636,2026-09-08
일반공고,도시건축과,화성시 만세구 공고 제2026-894호,도로지정공고(향남읍 수직리 248-10 번지 외 4필지),2026-09-03,,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149640,2026-09-07
일반공고,도시정책과,화성시 공고 제2026-3043호,도시계획시설(장사시설)사업 공사완료 공고[화성 도시계획시설(장사시설)(함백산 추모공원 건립사업)],2026-09-03,2026-09-04 ~ 2026-09-18,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149629,2026-09-07
일반공고,주택정책과,화성시 공고 제2026-3037호,사업수행능력평가서(업무중복도) 공개 공고,2026-09-03,2026-09-03 ~ 2026-09-10,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149607,2026-09-07
고시,도로과,화성시 고시 제2026-741호,웃신촌2(매송)지구 도시계획시설[시설도로] 사업 실시계획 고시,2026-09-02,2026-09-02 ~ 2026-09-16,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149548,2026-09-08
고시,건설과,화성시 고시 제2026-742호,"개간사업 시행계획 승인 알림[최○관, 양감면 용소리 1123-30번지 외1필지]",2026-09-02,2026-09-02 ~ 2031-09-02,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149572,2026-09-08
고시,도시개발과,화성시 고시 제2026-743호,매향리 반환공여구역 관광단지 조성사업 사업자 공모 재공고,2026-09-02,2026-09-02 ~ 2026-12-31,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149584,2026-09-08
고시,도시개발과,화성시 고시 제2026-744호,매향리 반환공여구역 관광단지 조성사업 사업자 재공모 정정공고,2026-09-02,2026-09-02 ~ 2026-12-31,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149594,2026-09-07
일반공고,건설과,화성시 공고 제2026-3012호,전문건설업 등록 공고[(주)무량기술],2026-09-02,2026-09-02 ~ 2029-09-01,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149537,2026-09-07
일반공고,건설과,화성시 공고 제2026-3029호,농업생산기반시설이나 용수의 사용허가 관계주민 의견청취 공고(서신면 백미리 757),2026-09-02,2026-09-02 ~ 2026-09-16,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149583,2026-09-07
일반공고,도시건축과,화성시 효행구 공고 제2026-416호,도로지정공고[정남면 괘랑리 474번지],2026-09-02,,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149574,2026-09-07
일반공고,도시건축과,화성시 효행구 공고 제2026-415호,도로지정공고[기안동 237-6번지],2026-09-02,2026-09-02 ~ 2026-10-02,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149569,2026-09-07
고시,도시정책과,화성시 고시 제2026-737호,도시계획시설(주차장) 실시계획 작성 고시[송산 마을어울림센터 건립사업],2026-09-01,,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149507,2026-09-07
일반공고,건설과,화성시 공고 제2026-3003호,전문건설업 등록 공고[주식회사 두리건설 및 주식회사 씨에스안전],2026-09-01,2026-09-01 ~ 2029-08-31,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149504,2026-09-07
일반공고,건설과,화성시 공고 제2026-3014호,농업생산기반시설이나 용수의 사용허가 관계주민 의견청취 공고(만세구 마도면 청원리 969),2026-09-01,2026-09-01 ~ 2026-09-15,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149545,2026-09-07
일반공고,도시건축과,화성시 효행구 공고 제2026-413호,임대사업자 등록 직권말소 및 청문 실시 공고,2026-09-01,2026-09-01 ~ 2026-09-22,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149520,2026-09-07
일반공고,도시환경과,화성시 동탄구 공고 제2026-390호,개인정보 처리 위탁내역 공고,2026-09-01,2026-09-01 ~ 2026-09-15,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149529,2026-09-07
일반공고,토지정보과,화성시 공고 제2026-2956호,2026.7.1.기준 개별공시지가 열람 및 의견제출 요령 공고,2026-09-01,,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149369,2026-09-07
고시,토지정보과,화성시 고시 제2026-736호,도로명주소 개별고시,2026-08-31,,,,,https://www.hscity.go.kr/www/gosi/BD_selectNoticeDetail.do?q_notAncmtMgtNo=149493,2026-09-07
