법정동,지번,단지명,유형확정,인근 지산
여울동,979,디에트르 퍼스트지,지산,테크노밸리
여울동,978,유림노르웨이숲,아파트,테크노밸리
송동,683-2,동탄레이크원,아파트,지원시설(ASML)
여울동,975,삼정그린코아더시티,오피스텔,지원시설(동탄역)
석우동,3-1,석우동IT단지,연구시설,삼성전자화성
영천동,872,동탄역멀티플라이어,오피스텔,테크노밸리
반송동,86-7,오피스타워,오피스,삼성전자화성
여울동,968-6,동탄역상가,오피스,지원시설(동탄역)
영천동,853-3,SH TIME SQUARE 1,지산,테크노밸리
능동,1064-4,익현오피스텔,오피스텔,삼성전자화성
반송동,103-3,디앤씨빌딩,오피스,삼성전자화성
능동,1063-1,에이티오앤빌딩,오피스,삼성전자화성
송동,718,동탄푸로지오시티웍스,오피스,지원시설(ASML)
송동,690-1,동탄디웨이브,오피스,지원시설(ASML)
영천동,835-1,동탄더퍼스트2차,지산,테크노밸리
영천동,844-1,현대 실리콘앨리 동탄,지산,테크노밸리
능동,1063-3,블리스인 오피스텔,오피스텔,삼성전자화성
영천동,847-8,동탄앨리원,오피스,지원시설(동탄역)
영천동,832-1,동탄케이밸리,지산,테크노밸리
반송동,219-2,메타플러스,오피스,삼성전자화성
영천동,853-1,동탄SK V1 Center,지산,테크노밸리
영천동,837,동탄센트럴에이스타워,지산,테크노밸리
영천동,823-6,금강팬테리움 IX타워,지산,테크노밸리
반송동,90-8,상성프라자,오피스,삼성전자화성
여울동,976-7,동탄역 씨에이치리베로,오피스,지원시설(동탄역)
여울동,974-1,여울시티Ⅱ,오피스,지원시설(동탄역)
