시군구,법정동,지번,단지명,유형확정,인근 지산,
화성시 동탄구,여울동,979,디에트르 퍼스트지,지산,동탄 테크노밸리,
화성시 동탄구,여울동,978,유림노르웨이숲,제외,,
화성시 동탄구,송동,683-2,동탄레이크원,제외,,
화성시 동탄구,여울동,975,삼정그린코아더시티,오피스텔,동탄 지원시설(동탄역),
화성시 동탄구,석우동,03월 01일,석우동IT단지,연구시설,동탄 삼성전자화성,
화성시 동탄구,영천동,872,동탄역멀티플라이어,오피스텔,동탄 테크노밸리,
화성시 동탄구,반송동,86-7,오피스타워,오피스,동탄 삼성전자화성,
화성시 동탄구,여울동,968-6,동탄역상가,오피스,동탄 지원시설(동탄역),
화성시 동탄구,영천동,853-3,SH TIME SQUARE 1,지산,동탄 테크노밸리,
화성시 동탄구,능동,1064-4,익현오피스텔,오피스텔,동탄 삼성전자화성,
화성시 동탄구,반송동,103-3,디앤씨빌딩,오피스,동탄 삼성전자화성,
화성시 동탄구,능동,1063-1,에이티오앤빌딩,오피스,동탄 삼성전자화성,
화성시 동탄구,송동,718,동탄푸로지오시티웍스,오피스,동탄 지원시설(ASML),
화성시 동탄구,송동,690-1,동탄디웨이브,오피스,동탄 지원시설(ASML),
화성시 동탄구,영천동,835-1,동탄더퍼스트2차,지산,동탄 테크노밸리,
화성시 동탄구,영천동,844-1,현대 실리콘앨리 동탄,지산,동탄 테크노밸리,
화성시 동탄구,능동,1063-3,블리스인 오피스텔,오피스텔,동탄 삼성전자화성,
화성시 동탄구,영천동,847-8,동탄앨리원,오피스,동탄 지원시설(동탄역),
화성시 동탄구,영천동,832-1,동탄케이밸리,지산,동탄 테크노밸리,
화성시 동탄구,반송동,219-2,메타플러스,오피스,동탄 삼성전자화성,
화성시 동탄구,영천동,853-1,동탄SK V1 Center,지산,동탄 테크노밸리,
화성시 동탄구,영천동,837,동탄센트럴에이스타워,지산,동탄 테크노밸리,
화성시 동탄구,영천동,823-6,금강팬테리움 IX타워,지산,동탄 테크노밸리,
화성시 동탄구,반송동,90-8,상성프라자,오피스,동탄 삼성전자화성,
화성시 동탄구,여울동,976-7,동탄역 씨에이치리베로,오피스,동탄 지원시설(동탄역),
화성시 동탄구,여울동,974-1,여울시티Ⅱ,오피스,동탄 지원시설(동탄역),
용인시 기흥구,영덕동,975-5,흥덕역 리써밋타워,오피스,기흥 지산벨트,
용인시 기흥구,구갈동,353-7,신건프라자,상가,기흥 일반상권,
용인시 기흥구,구갈동,679,기흥ICT밸리 SK V1 A동,지산,기흥 지산벨트,
용인시 기흥구,영덕동,974-2,흥덕 리치안 레이크타워,오피스,기흥 일반상권,
용인시 기흥구,보라동,578-1,보라메가타운,상가,기흥 일반상권,
용인시 기흥구,구갈동,681,기흥ICT밸리 SK V1 B동,지산,기흥 지산벨트,
용인시 기흥구,구갈동,579,아카데미프라자,상가,기흥 일반상권,
용인시 기흥구,상갈동,124-7,삼우프라자,상가,기흥 일반상권,
용인시 기흥구,구갈동,594-1,그랜드프라자,상가,기흥 일반상권,
용인시 기흥구,중동,676-1,라비스타,상가,기흥 일반상권,
용인시 기흥구,서천동,283,희망의도시,오피스,기흥 일반상권,
용인시 기흥구,중동,1147,스프링카운티자이,제외,,
용인시 기흥구,중동,833,이마트 동백점,제외,,
용인시 기흥구,영덕동,975-5,흥덕IT밸리,지산,기흥 지산벨트,
용인시 기흥구,농서동,452,기흥 테라타워,지산,기흥 지산벨트,
용인시 기흥구,영덕동,985-1,이씨티,오피스,기흥 일반상권,
용인시 기흥구,영덕동,517-1,흥덕역 리젠시프라자,상가,기흥 일반상권,
용인시 기흥구,중동,829,골드프라자,오피스텔,기흥 일반상권,
용인시 기흥구,영덕동,986-1,흥덕종합상가,상가,기흥 일반상권,
용인시 기흥구,중동,832-7,동백 테라스,제외,,
용인시 기흥구,구갈동,353-7,기흥역 롯데캐슬 레이시티,오피스텔,기흥 일반상권,
용인시 기흥구,영덕동,1005,흥덕유타워,지산,기흥 지산벨트,
용인시 기흥구,영덕동,986-6,흥덕프라자,상가,기흥 일반상권,
용인시 기흥구,중동,849-1,동백 메디슨타워,상가,기흥 일반상권,
용인시 기흥구,중동,1028,동백 주공 3단지,제외,,
용인시 기흥구,구갈동,679,기흥역 지웰 푸르지오,제외,,
용인시 기흥구,보정동,1261-1,보정동 행원마을 동아솔레시티,제외,,
용인시 기흥구,중동,830-1,동백문월빌딩,상가,기흥 일반상권,
용인시 기흥구,상갈동,2**,확인불가,제외,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
