시군구,법정동,지번,거래건수,주용도,건물유형,전용면적_최소,전용면적_최대,층_최저,층_최고,평당가_평균,지산후보,단지명,유형확정
,여울동,979,155,업무,집합,26.0,550.3,3,30,3038,O,,
화성시 동탄구,여울동,979,155,업무,집합,26.0,550.3,3,30,3038,O,,
,여울동,978,24,업무,집합,40.0,55.1,4,24,1274,O,,
화성시 동탄구,여울동,978,24,업무,집합,40.0,55.1,4,24,1274,O,,
,송동,683-2,15,업무,집합,24.3,117.7,3,14,2412,O,,
화성시 동탄구,송동,683-2,15,업무,집합,24.3,117.7,3,14,2412,O,,
,여울동,975,11,업무,집합,23.6,38.2,4,13,1360,O,,
화성시 동탄구,여울동,975,11,업무,집합,23.6,38.2,4,13,1360,O,,
,석우동,3-1,10,업무,집합,41.7,58.2,1,6,2464,O,,
화성시 동탄구,석우동,3-1,10,업무,집합,41.7,58.2,1,6,2464,O,,
,영천동,872,7,업무,집합,30.3,79.0,2,15,1647,O,,
화성시 동탄구,영천동,872,7,업무,집합,30.3,79.0,2,15,1647,O,,
,반송동,86-7,5,업무,집합,24.6,31.5,7,10,998,O,,
화성시 동탄구,반송동,86-7,5,업무,집합,24.6,31.5,7,10,998,O,,
,여울동,968-6,5,업무,집합,91.8,136.4,2,8,1164,O,,
화성시 동탄구,여울동,968-6,5,업무,집합,91.8,136.4,2,8,1164,O,,
,영천동,853-3,4,업무,집합,38.2,200.4,1,1,2643,O,,
화성시 동탄구,영천동,853-3,4,업무,집합,38.2,200.4,1,1,2643,O,,
,능동,1064-4,4,업무,집합,22.8,40.2,1,2,1100,O,,
화성시 동탄구,능동,1064-4,4,업무,집합,22.8,40.2,1,2,1100,O,,
,반송동,103-3,3,업무,집합,44.5,149.1,1,7,1990,O,,
화성시 동탄구,반송동,103-3,3,업무,집합,44.5,149.1,1,7,1990,O,,
,능동,1063-1,3,업무,집합,15.4,16.5,5,6,555,O,,
화성시 동탄구,능동,1063-1,3,업무,집합,15.4,16.5,5,6,555,O,,
,송동,718,3,업무,집합,29.1,59.3,9,12,3195,O,,
화성시 동탄구,송동,718,3,업무,집합,29.1,59.3,9,12,3195,O,,
,송동,690-1,3,업무,집합,29.7,29.7,3,6,2181,O,,
화성시 동탄구,송동,690-1,3,업무,집합,29.7,29.7,3,6,2181,O,,
,영천동,835-1,2,업무,집합,45.6,50.5,2,2,2100,O,,
화성시 동탄구,영천동,835-1,2,업무,집합,45.6,50.5,2,2,2100,O,,
,영천동,844-1,2,업무,집합,20.6,32.7,5,18,2038,O,,
화성시 동탄구,영천동,844-1,2,업무,집합,20.6,32.7,5,18,2038,O,,
,능동,1063-3,1,업무,집합,19.3,19.3,7,7,2175,O,,
화성시 동탄구,능동,1063-3,1,업무,집합,19.3,19.3,7,7,2175,O,,
,영천동,847-8,1,업무,집합,26.2,26.2,2,2,1890,O,,
화성시 동탄구,영천동,847-8,1,업무,집합,26.2,26.2,2,2,1890,O,,
,영천동,832-1,1,업무,집합,26.6,26.6,2,2,1005,O,,
화성시 동탄구,영천동,832-1,1,업무,집합,26.6,26.6,2,2,1005,O,,
,반송동,219-2,1,업무,집합,15.0,15.0,6,6,882,O,,
화성시 동탄구,반송동,219-2,1,업무,집합,15.0,15.0,6,6,882,O,,
,여울동,984,14,판매,집합,20.8,49.3,1,1,4496,,,
화성시 동탄구,여울동,984,14,판매,집합,20.8,49.3,1,1,4496,,,
,영천동,853-1,13,기타,집합,37.7,62.1,1,19,2091,,,
화성시 동탄구,영천동,853-1,13,기타,집합,37.7,62.1,1,19,2091,,,
,반송동,93-3,12,교육연구,집합,28.4,107.3,1,2,1080,,,
화성시 동탄구,반송동,93-3,12,교육연구,집합,28.4,107.3,1,2,1080,,,
,영천동,823-6,11,제2종근린생활,집합,23.6,122.2,,,2198,,,
화성시 동탄구,영천동,823-6,11,제2종근린생활,집합,23.6,122.2,,,2198,,,
,청계동,536,9,판매,집합,26.7,189.5,1,21,2058,,,
화성시 동탄구,청계동,536,9,판매,집합,26.7,189.5,1,21,2058,,,
,능동,1052-3,9,숙박,집합,19.4,22.6,3,11,285,,,
화성시 동탄구,능동,1052-3,9,숙박,집합,19.4,22.6,3,11,285,,,
,장지동,510,9,제2종근린생활,집합,132.1,332.4,1,3,1206,,,
화성시 동탄구,장지동,510,9,제2종근린생활,집합,132.1,332.4,1,3,1206,,,
,산척동,727-1,8,제2종근린생활,집합,32.8,68.5,,,2751,,,
화성시 동탄구,산척동,727-1,8,제2종근린생활,집합,32.8,68.5,,,2751,,,
,영천동,837,7,제2종근린생활,집합,25.4,46.8,1,3,2314,,,
화성시 동탄구,영천동,837,7,제2종근린생활,집합,25.4,46.8,1,3,2314,,,
,반송동,94,7,숙박,집합,21.6,22.1,5,19,1691,,,
화성시 동탄구,반송동,94,7,숙박,집합,21.6,22.1,5,19,1691,,,
,반송동,88-9,6,판매,집합,93.0,275.5,4,4,916,,,
화성시 동탄구,반송동,88-9,6,판매,집합,93.0,275.5,4,4,916,,,
,송동,725-1,6,제2종근린생활,집합,25.7,46.9,10,50,6681,,,
화성시 동탄구,송동,725-1,6,제2종근린생활,집합,25.7,46.9,10,50,6681,,,
,능동,1152-5,6,제2종근린생활,집합,42.1,194.7,1,7,889,,,
화성시 동탄구,능동,1152-5,6,제2종근린생활,집합,42.1,194.7,1,7,889,,,
,여울동,968-2,6,제1종근린생활,집합,106.5,241.8,4,7,1831,,,
화성시 동탄구,여울동,968-2,6,제1종근린생활,집합,106.5,241.8,4,7,1831,,,
,반송동,106-2,5,기타,집합,55.2,140.2,3,3,829,,,
화성시 동탄구,반송동,106-2,5,기타,집합,55.2,140.2,3,3,829,,,
,반송동,107-1,5,제2종근린생활,집합,46.8,142.3,1,7,1951,,,
화성시 동탄구,반송동,107-1,5,제2종근린생활,집합,46.8,142.3,1,7,1951,,,
,영천동,652-4,5,제2종근린생활,집합,39.7,49.2,,,873,,,
화성시 동탄구,영천동,652-4,5,제2종근린생활,집합,39.7,49.2,,,873,,,
,청계동,535-4,5,교육연구,집합,58.3,124.1,6,6,1175,,,
화성시 동탄구,청계동,535-4,5,교육연구,집합,58.3,124.1,6,6,1175,,,
,산척동,728-5,4,제2종근린생활,집합,51.5,74.6,6,9,1431,,,
화성시 동탄구,산척동,728-5,4,제2종근린생활,집합,51.5,74.6,6,9,1431,,,
,반송동,86-1,4,제2종근린생활,집합,26.4,63.0,1,7,2995,,,
화성시 동탄구,반송동,86-1,4,제2종근린생활,집합,26.4,63.0,1,7,2995,,,
,반송동,90-8,4,제1종근린생활,집합,52.2,58.2,1,1,2775,,,
화성시 동탄구,반송동,90-8,4,제1종근린생활,집합,52.2,58.2,1,1,2775,,,
,목동,496-2,4,제2종근린생활,집합,43.7,62.4,1,7,2376,,,
화성시 동탄구,목동,496-2,4,제2종근린생활,집합,43.7,62.4,1,7,2376,,,
,반송동,87-4,4,제2종근린생활,집합,35.6,107.1,1,7,996,,,
화성시 동탄구,반송동,87-4,4,제2종근린생활,집합,35.6,107.1,1,7,996,,,
화성시 동탄구,반송동,107-2,4,제2종근린생활,집합,49.5,171.1,1,2,1962,,,
,반송동,88-11,4,제1종근린생활,집합,28.7,190.8,1,9,1559,,,
화성시 동탄구,반송동,88-11,4,제1종근린생활,집합,28.7,190.8,1,9,1559,,,
,여울동,973,4,판매,집합,15.2,99.2,,,2459,,,
화성시 동탄구,여울동,973,4,판매,집합,15.2,99.2,,,2459,,,
,여울동,1020,4,판매,집합,42.5,108.7,10,30,2008,,,
화성시 동탄구,여울동,1020,4,판매,집합,42.5,108.7,10,30,2008,,,
,반송동,107-8,4,교육연구,집합,93.6,96.0,6,9,1044,,,
화성시 동탄구,반송동,107-8,4,교육연구,집합,93.6,96.0,6,9,1044,,,
,송동,725-4,4,제2종근린생활,집합,23.1,54.7,10,40,4572,,,
화성시 동탄구,송동,725-4,4,제2종근린생활,집합,23.1,54.7,10,40,4572,,,
,영천동,832-2,4,제2종근린생활,집합,52.7,88.0,1,1,2087,,,
화성시 동탄구,영천동,832-2,4,제2종근린생활,집합,52.7,88.0,1,1,2087,,,
,반송동,90-1,4,판매,집합,36.9,38.8,1,1,3981,,,
화성시 동탄구,반송동,90-1,4,판매,집합,36.9,38.8,1,1,3981,,,
,영천동,658-6,4,제1종근린생활,집합,77.5,116.3,3,3,1193,,,
화성시 동탄구,영천동,658-6,4,제1종근린생활,집합,77.5,116.3,3,3,1193,,,
,능동,1066-1,3,제2종근린생활,집합,31.2,35.2,1,1,1832,,,
화성시 동탄구,능동,1066-1,3,제2종근린생활,집합,31.2,35.2,1,1,1832,,,
,반송동,104-3,3,제2종근린생활,집합,31.5,408.5,1,9,4408,,,
화성시 동탄구,반송동,104-3,3,제2종근린생활,집합,31.5,408.5,1,9,4408,,,
,여울동,976-7,3,제2종근린생활,집합,32.5,44.2,1,7,8391,,,
,산척동,728-1,3,제1종근린생활,집합,181.7,276.0,2,2,2356,,,
화성시 동탄구,여울동,976-7,3,제2종근린생활,집합,32.5,44.2,1,7,8391,,,
화성시 동탄구,산척동,728-1,3,제1종근린생활,집합,181.7,276.0,2,2,2356,,,
,반송동,88-13,3,교육연구,집합,36.9,78.1,1,7,5319,,,
화성시 동탄구,반송동,88-13,3,교육연구,집합,36.9,78.1,1,7,5319,,,
,여울동,1089,3,제1종근린생활,집합,22.3,55.5,,,6288,,,
화성시 동탄구,여울동,1089,3,제1종근린생활,집합,22.3,55.5,,,6288,,,
,청계동,534-1,3,판매,집합,28.7,213.4,,,2028,,,
,반송동,87-3,3,제1종근린생활,집합,31.4,40.0,1,1,2263,,,
화성시 동탄구,청계동,534-1,3,판매,집합,28.7,213.4,,,2028,,,
화성시 동탄구,반송동,87-3,3,제1종근린생활,집합,31.4,40.0,1,1,2263,,,
,능동,1152-3,3,제1종근린생활,집합,30.8,69.8,1,6,1465,,,
화성시 동탄구,능동,1152-3,3,제1종근린생활,집합,30.8,69.8,1,6,1465,,,
,반송동,86-4,3,제1종근린생활,집합,60.1,330.0,1,10,1967,,,
화성시 동탄구,반송동,86-4,3,제1종근린생활,집합,60.1,330.0,1,10,1967,,,
,반송동,107-2,3,제2종근린생활,집합,49.5,51.5,1,1,2432,,,
,산척동,745,3,제2종근린생활,집합,26.9,26.9,1,1,1319,,,
화성시 동탄구,산척동,745,3,제2종근린생활,집합,26.9,26.9,1,1,1319,,,
,영천동,678-7,3,제1종근린생활,집합,32.0,95.9,1,5,2477,,,
화성시 동탄구,영천동,678-7,3,제1종근린생활,집합,32.0,95.9,1,5,2477,,,
,목동,487-1,3,제2종근린생활,집합,44.6,48.5,6,7,1499,,,
화성시 동탄구,목동,487-1,3,제2종근린생활,집합,44.6,48.5,6,7,1499,,,
,반송동,219-3,3,제1종근린생활,집합,33.1,50.4,1,1,5791,,,
화성시 동탄구,반송동,219-3,3,제1종근린생활,집합,33.1,50.4,1,1,5791,,,
,청계동,520,3,제2종근린생활,집합,24.2,41.0,1,1,4975,,,
화성시 동탄구,청계동,520,3,제2종근린생활,집합,24.2,41.0,1,1,4975,,,
,산척동,728-2,3,제2종근린생활,집합,58.3,67.3,8,8,1500,,,
화성시 동탄구,산척동,728-2,3,제2종근린생활,집합,58.3,67.3,8,8,1500,,,
,반송동,91-7,3,제1종근린생활,집합,30.2,297.7,6,6,782,,,
화성시 동탄구,반송동,91-7,3,제1종근린생활,집합,30.2,297.7,6,6,782,,,
