연월,유형,거래건수,평당가_중앙값
2025-01,교육연구,4,896
2025-01,근린상가,20,1128
2025-01,기타,1,1103
2025-01,상가,9,789
2025-01,숙박,1,610
2025-01,오피스,3,10757
2025-01,오피스텔,3,2087
2025-01,지산,7,2301
2025-01,판매시설,6,545
2025-02,교육연구,2,728
2025-02,근린상가,18,1797
2025-02,기타,1,726
2025-02,상가,1,1148
2025-02,숙박,3,2161
2025-02,오피스,6,2515
2025-02,오피스텔,4,1111
2025-02,지산,3,1518
2025-02,판매시설,4,1613
2025-03,교육연구,3,674
2025-03,근린상가,31,1242
2025-03,기타,1,1000
2025-03,숙박,1,324
2025-03,오피스,3,945
2025-03,오피스텔,2,1605
2025-03,지산,13,1465
2025-03,판매시설,7,1462
2025-04,교육연구,10,696
2025-04,근린상가,35,1130
2025-04,기타,3,835
2025-04,상가,5,1145
2025-04,숙박,1,1511
2025-04,오피스,3,556
2025-04,오피스텔,2,1064
2025-04,지산,167,2406
2025-04,판매시설,1,2361
2025-05,교육연구,1,917
2025-05,근린상가,32,1719
2025-05,상가,3,2427
2025-05,숙박,1,1528
2025-05,오피스,1,1277
2025-05,오피스텔,2,1315
2025-05,지산,2,3264
2025-05,판매시설,1,1805
2025-06,교육연구,4,895
2025-06,근린상가,24,921
2025-06,기타,1,1186
2025-06,상가,1,625
2025-06,숙박,2,279
2025-06,오피스,1,3469
2025-06,지산,6,2217
2025-06,판매시설,11,2875
2025-07,교육연구,6,945
2025-07,근린상가,27,1467
2025-07,상가,3,4564
2025-07,숙박,3,324
2025-07,오피스,3,1052
2025-07,오피스텔,2,1146
2025-07,지산,4,2745
2025-07,판매시설,10,4391
2025-08,교육연구,8,1078
2025-08,근린상가,24,1309
2025-08,기타,2,687
2025-08,숙박,2,1677
2025-08,오피스,5,1173
2025-08,오피스텔,3,1472
2025-08,지산,2,1070
2025-08,판매시설,1,4764
2025-09,교육연구,2,1364
2025-09,근린상가,27,1073
2025-09,기타,3,1306
2025-09,상가,3,726
2025-09,숙박,5,1372
2025-09,오피스,4,1158
2025-09,오피스텔,2,976
2025-09,판매시설,1,1307
2025-10,교육연구,1,1101
2025-10,근린상가,12,1825
2025-10,상가,2,707
2025-10,오피스,2,947
2025-10,오피스텔,3,2280
2025-10,지산,3,1228
2025-10,판매시설,2,1569
2025-11,교육연구,1,1007
2025-11,근린상가,20,1207
2025-11,숙박,2,2493
2025-11,연구시설,10,1737
2025-11,오피스,1,1183
2025-11,지산,1,1777
2025-11,판매시설,4,1812
2025-12,교육연구,1,1178
2025-12,근린상가,29,1738
2025-12,기타,3,899
2025-12,상가,9,2297
2025-12,오피스,1,558
2025-12,오피스텔,9,1410
2025-12,지산,1,1780
2025-12,판매시설,1,3229
2026-01,교육연구,5,1207
2026-01,근린상가,34,1244
2026-01,상가,2,1151
2026-01,숙박,2,1930
2026-01,오피스,3,617
2026-01,오피스텔,2,1272
2026-01,지산,5,1695
2026-02,교육연구,1,1085
2026-02,근린상가,32,2065
2026-02,기타,1,782
2026-02,상가,3,606
2026-02,숙박,4,1461
2026-02,오피스,2,697
2026-02,지산,1,1053
2026-03,교육연구,1,1205
2026-03,근린상가,18,1441
2026-03,상가,4,730
2026-03,숙박,5,1195
2026-03,오피스텔,4,641
2026-03,지산,2,949
2026-03,판매시설,3,1405
2026-04,교육연구,3,1158
2026-04,근린상가,30,1964
2026-04,기타,1,933
2026-04,상가,4,1124
2026-04,숙박,2,1467
2026-04,오피스,3,1937
2026-04,오피스텔,1,1060
2026-04,지산,13,2641
2026-05,근린상가,28,1869
2026-05,상가,1,901
2026-05,숙박,5,1530
2026-05,오피스,2,1314
2026-05,오피스텔,2,1277
2026-05,지산,1,1094
2026-05,판매시설,2,3165
2026-06,근린상가,23,1201
2026-06,기타,1,279
2026-06,상가,2,777
2026-06,오피스,6,1549
2026-06,오피스텔,1,1211
2026-06,지산,2,1550
2026-06,판매시설,4,2588
2026-07,근린상가,23,1826
2026-07,기타,2,2522
2026-07,숙박,1,1199
2026-07,오피스,2,2682
2026-07,오피스텔,1,1461
2026-07,지산,2,1569
2026-07,판매시설,2,3481
2026-08,교육연구,4,948
2026-08,근린상가,20,936
2026-08,상가,3,1107
2026-08,오피스,1,1444
2026-08,지산,2,926
2026-08,판매시설,1,1020
