출처,계획명,계획기간,단위,사업명,사업개요,총사업비,기투자,향후,이후,y1,y2,y3,y4,y5,기준연도,행,수집일
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,의회운영(자체/직접 ),"2026.01~2030.12 경기도의회사무처 의장상장(연간 8,000회 이 상), 의회사무처 각종행사( 연 10~12회) 등 의회운영 제반비용(의장표 창, 의회행사, 국제화여비 등)",123,0,123,0,22,23,25,26,27,2026,2159,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,국내외 교류사업 추 진(자체/직접),"2026. 1.~ 2030. 12. 국내외 외빈 및 내방객 등 공무국외출장 심사위원회 운영(약 60회 ), 의원 출장 수행(약 100회), 외빈 행 사(약 40회), 교류사업 및 내방객 기념 품(약 30,000회)) 등 의원 국외출장 수행여비, 외빈초청 행 사 운영, 교류사업 기념품 구입 등",37,0,37,0,7,7,7,7,7,2026,2213,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,지역상담소 운영(자 체/직접),기간 : 2026.1.~2030.12. 대상 : 경기도민 규모 : 경기도의회 지역 상담소 운영(31개소) 내용 : 경기도의회 지역 상담소 운영(31개소),80,0,80,0,16,16,16,16,16,2026,2227,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,후생복지 지원(자체 /직접),기간:2026.1.~2030.12. 대상:경기도의회 도의 원 및 직원 규모:경기도의회 도의 원 및 직원 내용: 후생복지 지원,78,0,78,0,16,16,16,16,16,2026,2239,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,의정지원 기준경비( 자체/직접),기간:2025.01.~2030.12. 대상:도의원 규모:도의원 156명 내용:의정활동비 등 의 회비 편성,925,0,925,0,164,174,184,195,207,2026,2252,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,영상 및 언론매체 홍보(자체/직접),"기간:2026.1. ~ 2030.12. 대상 : 경기도민 및 경기도의회 규모 : 방송, 신문, 인터넷사이 트 등 10개 사업 내용 : 방송, 신문, 인터넷사이 트 등 다양한 언론매체를 통한 홍보 추진",267,0,267,0,50,52,53,55,57,2026,2265,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,생활매체 의정홍보( 자체/직접),"기간 : 2026.1.~2030.12. 대상 : 경기도민 및 경기도 의회 규모 : G-버스, 지하철, 전광판 등 영상홍보 내용 : G-버스, 지하철, 전광판 등 영상홍보 추진",57,0,57,0,11,11,11,12,12,2026,2305,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,미디어 홍보(자체/ 직접),"기간 : 2026.1.~ 2030.12. 대상 : 경기도민 및 경기도의회 규모 : 의회정기간행물, SNS홍보 매체, 소셜TV 영상매체, 만화제 작 등 6개 사업 내용 : 간행물 제작 및 SNS 매체 , 소셜TV 영상매체 등 미디어홍 보",120,0,120,0,23,23,24,25,25,2026,2318,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,입법운영 지원(자체 /직접),"2026.01~2030.12 경기도의회 및 경기도민 정책 자문의뢰 10건, 입법·법률고문 : 20명 (매월), 입법정책토론회 24회 개최 지원, 입법활동지원 5개 우수부서 포상 등 지방의회 정책현안 대응 및 정책 개발 을 위한 전문가 자문, 법률 자문 운영 및 소송수수료 지원, 입법정책토론회 지원 등",10,0,10,0,2,2,2,2,2,2026,2334,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,입법정책위원회 운 영(자체/직접),"2026.01~2030.12 경기도 의회 및 경기도민 입법정책위원회 4회 [분기 별 개최] 입법정책위원회 운영 [ 자 치법규 사후입법영향평가 심의, 도의회 우수조례 선 정 등]",1,0,1,0,0,0,0,0,0,2026,2350,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,지방자치분권 도민 홍보(자체/직접),"2026.01~2030.12 경기도의회 및 경기도민 지방자치분권 관련 공익광 고(연간 언론사 홈페이지 배너 광고 등 10여건 이상, 언론사 매체 홍보 10여건 이상 등) 지방자치분권 홍보 공익광 고 제작 및 방송",16,0,16,0,3,3,3,3,3,2026,2364,2026-09-20
