dealYear,dealMonth,dealDay,umdNm,jibun,buildingUse,buildingType,buildingAr,floor,dealAmount,buildYear,landUse,dealingGbn,buyerGbn,slerGbn,cdealType,cdealDay,pyeongPrice
2025,1,2,산척동,728-5,제2종근린생활,집합,51.5,6,"23,000",2019,일반상업,중개거래,개인,개인,,,1476
2025,1,4,반송동,86-1,제1종근린생활,집합,26.4,1,"74,500",2007,중심상업,중개거래,개인,개인,,,9329
2025,1,6,청계동,536,판매,집합,189.5,1,"38,000",2018,일반상업,중개거래,개인,개인,,,663
2025,1,7,능동,1066-1,제2종근린생활,집합,31.2,1,"16,950",,일반상업,직거래,개인,법인,,,1796
2025,1,8,영천동,837,제1종근린생활,집합,46.8,2,"32,570",2019,준주거,직거래,개인,법인,,,2301
2025,1,8,영천동,837,제2종근린생활,집합,42.9,1,"59,718",2019,준주거,직거래,개인,법인,,,4602
2025,1,9,영천동,872,업무,집합,30.31,4,"19,134",2024,준주거,직거래,개인,개인,,,2087
2025,1,9,반송동,86-2,제2종근린생활,집합,70.59,8,"14,000",,중심상업,중개거래,개인,개인,,,656
2025,1,9,반송동,104-3,제2종근린생활,집합,408.5,9,"80,000",2007,중심상업,직거래,개인,개인,,,647
2025,1,10,반송동,90-6,숙박,집합,21.66,8,"4,000",2016,중심상업,직거래,개인,개인,,,610
2025,1,10,능동,1063-3,업무,집합,19.3,7,"12,700",2018,일반상업,직거래,개인,법인,,,2175
2025,1,13,반송동,93-3,교육연구,집합,102.6,2,"27,800",2010,중심상업,직거래,개인,법인,O,25.06.12,896
2025,1,13,반송동,93-3,교육연구,집합,93.15,2,"25,200",2010,중심상업,직거래,개인,법인,O,25.06.12,894
2025,1,13,반송동,93-3,교육연구,집합,105.57,2,"28,600",2010,중심상업,직거래,개인,법인,O,25.06.12,896
2025,1,13,여울동,976-7,제2종근린생활,집합,32.45,1,"105,595",2024,중심상업,직거래,법인,법인,,,10757
2025,1,13,여울동,976-7,제2종근린생활,집합,35.39,1,"115,161",2024,중심상업,직거래,법인,법인,,,10757
2025,1,13,여울동,975,업무,집합,23.6,8,"9,964",2022,중심상업,중개거래,개인,법인,,,1396
2025,1,13,산척동,728-1,제1종근린생활,집합,276.04,2,"173,000",2021,일반상업,직거래,개인,법인,,,2072
2025,1,13,산척동,728-1,제1종근린생활,집합,181.7,2,"137,000",2021,일반상업,직거래,개인,법인,,,2493
2025,1,13,산척동,728-1,제1종근린생활,집합,184.86,2,"140,000",2021,일반상업,직거래,개인,법인,,,2504
2025,1,14,청계동,512,제2종근린생활,집합,26.56,1,"85,600",2015,제3종일반주거,중개거래,법인,개인,,,10654
2025,1,15,영천동,823-6,제2종근린생활,집합,69.04,,"60,000",2021,준주거,직거래,법인,개인,,,2873
2025,1,16,반송동,88-9,판매,집합,275.53,4,"34,000",2007,중심상업,직거래,법인,개인,,,408
2025,1,16,반송동,88-9,판매,집합,111.8,4,"14,000",2007,중심상업,직거래,법인,개인,,,414
2025,1,16,반송동,88-9,판매,집합,92.96,4,"12,000",2007,중심상업,직거래,법인,개인,,,427
2025,1,16,반송동,217-6,제2종근린생활,집합,54.21,1,"49,000",2007,근린상업,직거래,개인,개인,,,2988
2025,1,20,영천동,853-3,제2종근린생활,집합,200.42,1,"331,000",2018,준주거,직거래,개인,법인,,,5460
2025,1,20,여울동,1019,판매,집합,8.4,11,"22,855",2017,중심상업,직거래,개인,개인,,,8995
2025,1,21,반송동,86-1,제2종근린생활,집합,62.98,5,"17,400",2007,중심상업,중개거래,개인,개인,,,913
2025,1,21,반송동,86-1,제2종근린생활,집합,49.5,5,"13,600",2007,중심상업,중개거래,개인,개인,,,908
2025,1,22,여울동,978,업무,집합,40.05,7,"16,000",2021,중심상업,중개거래,개인,개인,,,1321
2025,1,23,장지동,971-1,제2종근린생활,집합,60.3,1,"76,000",2019,준주거,직거래,법인,법인,,,4167
2025,2,5,반송동,90-8,제1종근린생활,집합,52.2,1,"40,350",,중심상업,중개거래,법인,개인,,,2555
2025,2,5,반송동,90-8,제2종근린생활,집합,52.43,1,"48,000",,중심상업,중개거래,법인,개인,,,3026
2025,2,5,반송동,90-8,제1종근린생활,집합,58.25,1,"53,600",,중심상업,중개거래,법인,개인,,,3042
2025,2,5,반송동,90-8,업무,집합,55,1,"41,200",,중심상업,중개거래,법인,개인,,,2476
2025,2,5,여울동,978,업무,집합,42,19,"13,900",2021,중심상업,중개거래,개인,개인,,,1094
2025,2,7,반송동,88-13,교육연구,집합,78.12,7,"17,000",2007,중심상업,중개거래,법인,개인,,,719
2025,2,10,능동,1065-3,제1종근린생활,집합,79.61,1,"54,500",2013,일반상업,중개거래,법인,개인,,,2263
2025,2,10,능동,1065-3,제1종근린생활,집합,80.4,1,"52,500",2013,일반상업,중개거래,법인,개인,,,2159
2025,2,10,영천동,837,제2종근린생활,집합,42.9,1,"59,718",2019,준주거,직거래,법인,법인,,,4602
2025,2,11,여울동,975,업무,집합,37.46,7,"16,130",2022,중심상업,중개거래,법인,법인,,,1423
2025,2,11,능동,1064-4,업무,집합,23.1,2,"5,500",2010,일반상업,중개거래,법인,개인,,,787
2025,2,11,능동,1064-4,업무,집합,22.77,2,"5,500",2010,일반상업,중개거래,법인,개인,,,799
2025,2,13,여울동,978,업무,집합,40.05,23,"19,500",2021,중심상업,중개거래,개인,개인,,,1610
2025,2,16,여울동,1023,판매,집합,28.3,10,"32,000",2023,일반상업,직거래,개인,개인,,,3738
2025,2,16,반송동,88-9,판매,집합,275.53,4,"85,000",2007,중심상업,직거래,개인,개인,,,1020
2025,2,16,반송동,88-9,판매,집합,111.8,4,"55,000",2007,중심상업,직거래,개인,개인,,,1626
2025,2,16,반송동,88-9,판매,집합,92.96,4,"45,000",2007,중심상업,직거래,개인,개인,,,1600
2025,2,17,중동,2**,제2종근린생활,일반,119.33,,"121,250",,계획관리,중개거래,법인,개인,,,3359
2025,2,18,반송동,103-3,업무,집합,149.1,7,"36,000",2007,중심상업,중개거래,개인,개인,,,798
2025,2,20,여울동,1089,제1종근린생활,집합,41.11,,"125,000",2021,중심상업,직거래,개인,개인,,,10052
2025,2,20,영천동,847-8,업무,집합,26.22,2,"14,994",2022,준주거,중개거래,개인,개인,O,25.03.10,1890
2025,2,21,영천동,873-2,제2종근린생활,집합,48.75,1,"115,619",2019,준주거,직거래,개인,법인,,,7840
2025,2,21,영천동,873-2,제2종근린생활,집합,48.75,1,"107,210",2019,준주거,직거래,개인,법인,,,7270
2025,2,21,청계동,535-6,제1종근린생활,집합,114.66,3,"49,800",2015,일반상업,중개거래,개인,개인,,,1436
2025,2,21,청계동,535-6,제1종근린생활,집합,109.08,3,"47,200",2015,일반상업,중개거래,개인,개인,,,1430
2025,2,21,반송동,1**,제1종근린생활,일반,59.72,,"3,000",2010,제2종전용주거,중개거래,개인,개인,,,166
2025,2,25,여울동,978,업무,집합,55.15,24,"23,179",2021,중심상업,중개거래,법인,개인,,,1389
2025,2,28,반송동,94,숙박,집합,21.69,19,"10,000",2020,중심상업,직거래,개인,개인,,,1524
2025,3,1,송동,683-2,업무,집합,30.54,5,"23,100",2024,준주거,중개거래,개인,개인,,,2500
2025,3,3,청계동,536,판매,집합,31.76,21,"18,000",2018,일반상업,중개거래,개인,개인,,,1874
2025,3,4,영천동,853-1,업무,집합,37.67,19,"15,180",2019,준주거,직거래,법인,개인,,,1332
2025,3,4,영천동,853-1,업무,집합,53.94,19,"21,742",2019,준주거,직거래,법인,개인,,,1332
2025,3,4,능동,1063-1,업무,집합,16.53,5,"2,850",2008,일반상업,직거래,법인,법인,,,570
2025,3,6,능동,1***,제2종근린생활,일반,356.59,,"280,000",2023,준주거,중개거래,법인,법인,,,2596
2025,3,7,청계동,516,제1종근린생활,집합,35.2,,"32,000",2015,제3종일반주거,중개거래,개인,개인,,,3005
2025,3,8,목동,496-2,교육연구,집합,58.8,6,"29,200",2021,근린상업,중개거래,개인,개인,,,1642
2025,3,10,송동,683-2,업무,집합,30.54,14,"26,500",2024,준주거,중개거래,개인,개인,,,2868
2025,3,11,반송동,91-2,제2종근린생활,집합,133.66,2,"23,000",2007,중심상업,중개거래,개인,개인,,,569
2025,3,11,금곡동,5**,제2종근린생활,일반,134.88,,"211,266",1993,자연녹지,직거래,법인,법인,,,5178
2025,3,11,반송동,87-4,제2종근린생활,집합,104.6,4,"14,500",2007,중심상업,중개거래,법인,개인,,,458
2025,3,12,반송동,93-8,제1종근린생활,집합,48.17,3,"14,500",2009,중심상업,중개거래,법인,개인,,,995
2025,3,13,여울동,978,업무,집합,40.05,22,"18,909",,중심상업,중개거래,개인,개인,,,1561
2025,3,13,반송동,106-5,제1종근린생활,집합,109.44,4,"23,000",2008,중심상업,중개거래,개인,개인,,,695
2025,3,17,청계동,534-1,판매,집합,28.69,,"31,700",2015,일반상업,중개거래,개인,개인,O,25.04.14,3653
2025,3,17,반송동,87-3,제1종근린생활,집합,40,1,"14,500",2007,중심상업,직거래,개인,개인,,,1198
2025,3,19,청계동,564,제2종근린생활,집합,68.47,11,"50,439",2022,준주거,직거래,법인,법인,,,2435
2025,3,19,능동,1064-4,제1종근린생활,집합,40.25,1,"24,500",2010,일반상업,중개거래,개인,개인,,,2012
2025,3,19,송동,725-1,제2종근린생활,집합,33.62,10,"102,895",2022,일반상업,직거래,개인,법인,,,10117
2025,3,20,반송동,61-10,제1종근린생활,집합,91.5,4,"13,000",2007,준주거,중개거래,법인,개인,,,470
2025,3,20,반송동,61-10,제1종근린생활,집합,106.37,4,"13,000",2007,준주거,중개거래,법인,개인,,,404
2025,3,20,영천동,823-6,제2종근린생활,집합,122.16,,"91,112",2021,준주거,직거래,법인,법인,,,2466
2025,3,20,영천동,823-6,제2종근린생활,집합,26.91,,"19,686",2021,준주거,직거래,법인,법인,,,2418
2025,3,20,영천동,823-6,제2종근린생활,집합,39.06,,"16,239",2021,준주거,직거래,법인,법인,,,1374
2025,3,20,반송동,86-7,업무,집합,31.5,10,"9,000",2008,중심상업,직거래,개인,개인,,,945
2025,3,20,청계동,536,판매,집합,36.05,20,"15,940",2018,일반상업,중개거래,개인,개인,,,1462
2025,3,20,청계동,536,판매,집합,38.72,20,"17,121",2018,일반상업,중개거래,개인,개인,,,1462
2025,3,20,영천동,837,업무,집합,26.91,,"11,800",2019,준주거,중개거래,개인,개인,,,1450
2025,3,21,반송동,93-3,판매,집합,73.46,2,"24,100",2010,중심상업,직거래,개인,법인,,,1085
2025,3,21,반송동,93-3,판매,집합,54.23,1,"38,600",2010,중심상업,직거래,개인,법인,,,2353
2025,3,22,여울동,978,업무,집합,50.51,7,"16,800",2021,중심상업,중개거래,법인,개인,,,1100
2025,3,22,송동,683-2,업무,집합,30.54,11,"24,500",2024,준주거,중개거래,개인,개인,,,2652
2025,3,22,청계동,558,제1종근린생활,집합,32.4,1,"30,000",2015,제3종일반주거,중개거래,개인,개인,,,3061
2025,3,24,반송동,91-1,제2종근린생활,집합,68.45,3,"15,800",2008,중심상업,중개거래,법인,법인,,,763
2025,3,24,반송동,88-12,교육연구,집합,102.06,5,"20,800",2007,중심상업,중개거래,개인,개인,,,674
2025,3,24,반송동,88-12,교육연구,집합,59.54,5,"11,700",2007,중심상업,중개거래,개인,개인,,,650
2025,3,24,능동,1152-5,제2종근린생활,집합,194.74,6,"34,000",2008,근린상업,중개거래,법인,개인,,,577
2025,3,25,송동,683-2,업무,집합,24.32,8,"10,000",2024,준주거,중개거래,개인,개인,,,1359
2025,3,27,능동,1052-3,숙박,집합,19.4,11,"1,900",2016,근린상업,직거래,개인,법인,,,324
2025,3,28,여울동,968-2,제1종근린생활,집합,106.5,6,"40,000",2016,중심상업,직거래,개인,개인,,,1242
2025,3,31,여울동,1040-1,제2종근린생활,집합,40.64,5,"8,500",2017,준주거,직거래,개인,개인,,,691
2025,3,31,송동,725-1,제2종근린생활,집합,27.4,10,"85,400",2022,일반상업,중개거래,법인,개인,,,10303
2025,3,31,송동,725-1,제2종근린생활,집합,25.68,10,"80,100",2022,일반상업,중개거래,법인,개인,,,10311
2025,4,3,능동,1081,제1종근린생활,집합,31.5,1,"16,400",2008,제3종일반주거,중개거래,개인,개인,,,1721
2025,4,4,능동,1066-1,제2종근린생활,집합,35.04,1,"19,660",2012,일반상업,직거래,개인,법인,,,1855
2025,4,4,능동,1066-1,제2종근린생활,집합,35.24,1,"19,660",2012,일반상업,직거래,개인,법인,,,1844
2025,4,5,여울동,978,업무,집합,40.05,5,"16,200",2021,중심상업,중개거래,개인,개인,,,1337
2025,4,7,여울동,968-2,제1종근린생활,집합,113.6,7,"79,900",2016,중심상업,직거래,법인,법인,,,2325
2025,4,7,여울동,968-2,제1종근린생활,집합,106.5,7,"75,200",2016,중심상업,직거래,법인,법인,,,2334
2025,4,7,여울동,968-2,제1종근린생활,집합,241.75,7,"159,800",2016,중심상업,직거래,법인,법인,,,2185
2025,4,11,산척동,728-5,제2종근린생활,집합,74.59,9,"25,300",2019,일반상업,중개거래,법인,개인,,,1121
2025,4,11,여울동,978,업무,집합,42,10,"13,000",2021,중심상업,중개거래,개인,개인,,,1023
2025,4,11,여울동,979,업무,집합,67.71,3,"49,285",2025,중심상업,직거래,법인,법인,,,2406
